quarter_end,pe_ratio,pb_ratio,roe,roa,ev_ebitda,dividend_yield,revenue,ebitda,net_income,total_debt,equity,total_assets,current_assets,current_liabilities,inventory,current_ratio,quick_ratio,debt_to_equity,net_margin,asset_turnover,tax_provision,pre_tax_income
2009-12-31,14.35345,2.86772,0.19979295014265896,0.09515489114732303,8.12652,,182833794000,,33344072000,102450548000.0,166893136000.0,350418897000.0,74373574000.0,55161927000.0,19447693000.0,1.3482773000297832,0.9957208528991383,0.6138691527733052,0.18237368087433553,0.5217578034896903,-10930954000,44275026000
2010-03-31,59.20932,,,,31.39955,,50412070000,,7796847000,,,,,,,,,,0.15466230607074855,,-2939930000,10736777000
2010-06-30,648.94902,,,,82.27843,,3219309000,,539951000,,,,,,,,,,0.1677226386159266,,-3105032000,705054000
2010-09-30,447.81753,,,,123.02527,,1107664000,,794891000,,,,,,,,,,0.7176282699446763,,-3739219000,1429077000
2010-12-31,13.29799,1.14751,0.08629189361340686,0.05148326989162873,9.22206,,158534626000,,26769756000,117915312000.0,310223300000.0,519970003000.0,106685162000.0,56834675000.0,19815677000.0,1.8771139625589484,1.528459254847503,0.38009818089099046,0.16885747092247216,0.30489186892575415,-2451791000,35266509000
2011-03-31,33.22263,1.16879,0.03518054845729376,0.02054183052867875,22.71767,,54800499000,,11194174000,128999907000.0,318192140000.0,544945300000.0,120036373000.0,60590324000.0,23868892000.0,1.9811145588196557,1.5871755529810336,0.4054151274761218,0.20427138811272502,0.10056146736195358,-3640716000,14834890000
2011-06-30,1426.33794,0.94813,0.0006647336681898813,0.0003911602087927945,88.69783,,6668247000,,216931000,128298429000.0,326342730000.0,554583506000.0,119493478000.0,60821150000.0,25751416000.0,1.9646698229152195,1.5412740798225617,0.39314014747624376,0.03253193830402503,0.01202388265762812,-3697771000,273986000
2011-09-30,-40.59425,0.75227,-0.01853154859288965,-0.010543423078851687,62.49065,,2710274000,,-6137589000,146844073000.0,331196768000.0,582124890000.0,120493402000.0,67711238000.0,27397234000.0,1.7795185195107495,1.3748998061444395,0.44337411227394585,-2.264564025629881,0.004655829095368178,-1292331000,-8543029000
2011-12-31,10.07062,0.84379,0.08378722968007232,0.04645931200835902,7.35333,,179997122000,,27836096000,155554694000.0,332223611000.0,599149983000.0,121163683000.0,68212334000.0,28446924000.0,1.7762723527390223,1.3592374511037844,0.46822287414123615,0.15464745041867947,0.3004208079899086,-2610510000,37785093000
2012-03-31,32.30805,0.89896,0.027824841029910112,0.015309185860157812,18.28681,,66134031000,,9427679000,164136498000.0,338822385000.0,615818443000.0,126373536000.0,65952463000.0,29396160000.0,1.916130653073563,1.4704132581068277,0.484432272678796,0.14255412618051364,0.10739209218519621,-2944394000,12372073000
