date,open,high,low,close,adjusted_close,volume,ticker
2016-01-04,6.57,7.03,6.55,6.87,1.8882,45962100,PETR4
2016-01-05,6.92,7.0,6.62,6.68,1.8359,29446700,PETR4
2016-01-06,6.53,6.54,6.4,6.4,1.759,67507200,PETR4
2016-01-07,6.19,6.43,6.08,6.26,1.7205,57387900,PETR4
2016-01-08,6.38,6.45,6.13,6.27,1.7233,52100300,PETR4
2016-01-11,6.27,6.3,6.05,6.09,1.6738,51334000,PETR4
2016-01-12,6.12,6.12,5.51,5.53,1.5199,81627800,PETR4
2016-01-13,5.7,5.74,5.25,5.27,1.4484,70874300,PETR4
2016-01-14,5.31,5.69,5.13,5.69,1.5638,76854200,PETR4
2016-01-15,5.35,5.44,5.16,5.17,1.4209,75571500,PETR4
2016-01-18,5.19,5.21,4.8,4.8,1.3192,46407200,PETR4
2016-01-19,5.03,5.05,4.64,4.66,1.2808,66529300,PETR4
2016-01-20,4.5,4.5,4.26,4.43,1.2175,92914100,PETR4
2016-01-21,4.37,4.67,4.36,4.5,1.2368,87455300,PETR4
2016-01-22,4.73,4.77,4.4,4.41,1.212,100576600,PETR4
2016-01-26,4.23,4.31,4.12,4.2,1.1543,71933300,PETR4
2016-01-27,4.22,4.64,4.16,4.57,1.256,79437900,PETR4
2016-01-28,4.67,5.13,4.35,4.6,1.2643,131960900,PETR4
2016-01-29,4.7,4.86,4.52,4.84,1.3302,93013900,PETR4
2016-02-01,4.74,4.86,4.66,4.72,1.2972,51910300,PETR4
2016-02-02,4.56,4.65,4.3,4.3,1.1818,53610300,PETR4
2016-02-03,4.42,4.52,4.22,4.49,1.234,73786400,PETR4
2016-02-04,4.56,4.94,4.36,4.73,1.3,91974200,PETR4
2016-02-05,4.73,4.78,4.53,4.54,1.2478,52704500,PETR4
2016-02-10,4.3,4.41,4.28,4.31,1.1846,45747400,PETR4
2016-02-11,4.2,4.27,4.12,4.23,1.1626,59451500,PETR4
2016-02-12,4.37,4.51,4.3,4.45,1.223,64027200,PETR4
2016-02-15,4.56,4.6,4.52,4.57,1.256,28490400,PETR4
2016-02-16,4.5,4.64,4.42,4.44,1.2203,80343900,PETR4
2016-02-17,4.54,4.82,4.51,4.68,1.2863,84473100,PETR4
2016-02-18,4.69,4.87,4.55,4.59,1.2615,65026900,PETR4
2016-02-19,4.5,4.57,4.4,4.46,1.2258,56031000,PETR4
2016-02-22,4.67,5.04,4.63,5.04,1.3852,80150300,PETR4
2016-02-23,4.95,5.28,4.82,4.92,1.3522,85037400,PETR4
2016-02-24,4.77,4.93,4.65,4.87,1.3385,75039700,PETR4
2016-02-25,4.81,5.08,4.79,4.89,1.344,70393700,PETR4
2016-02-26,5.02,5.1,4.83,4.87,1.3385,61396800,PETR4
2016-02-29,5.08,5.23,4.98,5.14,1.4127,84165000,PETR4
2016-03-01,5.31,5.37,5.1,5.31,1.4594,80939200,PETR4
2016-03-02,5.21,5.65,5.15,5.65,1.5528,88545800,PETR4
2016-03-03,6.57,6.57,6.57,6.57,1.8057,186772500,PETR4
2016-03-04,6.57,7.9,6.57,7.22,1.9844,175922100,PETR4
2016-03-07,7.25,7.53,6.95,7.37,2.0256,85041400,PETR4
2016-03-08,7.37,7.84,7.08,7.47,2.0531,137169400,PETR4
2016-03-09,7.7,7.78,7.36,7.6,2.0888,84821900,PETR4
2016-03-10,7.8,7.96,7.31,7.95,2.185,117672300,PETR4
2016-03-11,7.94,8.22,7.67,8.09,2.2235,92331300,PETR4
2016-03-14,8.13,8.2,7.4,7.4,2.0338,86084700,PETR4
2016-03-15,6.83,6.96,6.56,6.61,1.8167,104913200,PETR4
2016-03-16,6.51,7.23,6.41,7.23,1.9871,85533000,PETR4
2016-03-17,8.15,8.19,7.71,8.1,2.2262,118294200,PETR4
2016-03-18,8.09,8.17,7.72,8.12,2.2317,77182400,PETR4
2016-03-21,8.08,8.27,7.93,8.06,2.2152,65837300,PETR4
2016-03-22,7.85,8.18,7.73,8.11,2.229,84549700,PETR4
2016-03-23,7.88,7.96,7.66,7.78,2.1383,61437900,PETR4
2016-03-24,7.53,8.0,7.32,7.81,2.1465,52343300,PETR4
2016-03-28,8.15,8.48,7.91,8.44,2.3197,69818700,PETR4
2016-03-29,8.34,8.85,8.19,8.49,2.3334,89050200,PETR4
2016-03-30,8.7,9.0,8.28,8.44,2.3197,90059600,PETR4
2016-03-31,8.31,8.31,8.31,8.31,2.2839,737700,PETR4
2016-04-01,8.36,8.36,8.36,8.36,2.2977,374500,PETR4
2016-04-04,7.54,7.54,7.54,7.54,2.0723,865300,PETR4
2016-04-05,7.8,7.8,7.8,7.8,2.1438,684100,PETR4
2016-04-06,7.58,7.58,7.58,7.58,2.0833,457400,PETR4
2016-04-07,7.7,7.7,7.7,7.7,2.1163,324800,PETR4
2016-04-08,8.13,8.34,8.04,8.26,2.2702,84448200,PETR4
2016-04-11,8.39,8.39,8.39,8.39,2.3059,449600,PETR4
2016-04-12,9.04,9.04,9.04,9.04,2.4846,648900,PETR4
2016-04-13,9.49,9.49,9.49,9.49,2.6082,782300,PETR4
2016-04-14,9.73,9.77,9.12,9.16,2.5175,77355500,PETR4
2016-04-15,9.25,9.83,9.07,9.69,2.6632,95590000,PETR4
2016-04-18,9.65,9.72,8.89,9.24,2.5395,88873100,PETR4
2016-04-19,9.61,9.61,9.61,9.61,2.6412,370500,PETR4
2016-04-20,9.4,9.64,9.34,9.48,2.6055,53295800,PETR4
2016-04-22,9.32,9.93,9.29,9.75,2.6797,63322900,PETR4
2016-04-25,9.71,9.9,9.33,9.33,2.5643,56585400,PETR4
2016-04-26,9.48,9.74,9.34,9.67,2.6577,40460400,PETR4
2016-04-27,9.85,10.3,9.77,10.25,2.8171,86397900,PETR4
2016-04-28,10.23,10.54,10.08,10.23,2.8116,57741500,PETR4
2016-04-29,10.23,10.54,10.01,10.23,2.8116,53931300,PETR4
2016-05-02,10.25,10.36,9.93,10.17,2.7951,48618800,PETR4
2016-05-03,10.01,10.09,9.71,9.78,2.6879,47074700,PETR4
2016-05-04,9.85,10.15,9.85,9.92,2.7264,43389500,PETR4
2016-05-05,10.28,10.3,9.6,9.81,2.6962,65074500,PETR4
2016-05-06,9.63,10.13,9.58,10.08,2.7704,45330900,PETR4
2016-05-09,10.01,10.05,8.84,9.48,2.6055,94688100,PETR4
2016-05-10,9.82,10.21,9.72,10.21,2.8061,53055800,PETR4
2016-05-11,10.39,10.5,9.99,10.25,2.8171,74542300,PETR4
2016-05-12,10.4,10.47,9.79,9.79,2.6907,67229100,PETR4
2016-05-13,9.93,10.06,9.39,9.46,2.6,70472200,PETR4
2016-05-16,9.55,9.85,9.52,9.75,2.6797,61487700,PETR4
2016-05-17,9.83,9.88,9.46,9.5,2.611,46379500,PETR4
2016-05-18,9.31,9.65,9.27,9.32,2.5615,51929100,PETR4
2016-05-19,9.25,9.25,8.65,8.96,2.4626,75430200,PETR4
2016-05-20,9.2,9.46,8.9,8.9,2.4461,65173100,PETR4
2016-05-23,8.55,8.67,8.42,8.5,2.3361,51330000,PETR4
2016-05-24,8.69,8.85,8.45,8.53,2.3444,44823400,PETR4
2016-05-25,8.68,8.94,8.59,8.67,2.3829,45512600,PETR4
2016-05-27,8.5,8.57,8.23,8.23,2.2619,47488600,PETR4
2016-05-30,8.18,8.62,8.06,8.38,2.3032,32281900,PETR4
2016-05-31,8.36,8.57,8.04,8.04,2.2097,58662600,PETR4
2016-06-01,8.09,8.25,7.86,8.18,2.2482,45884400,PETR4
2016-06-02,8.19,8.41,8.03,8.32,2.2867,52835100,PETR4
2016-06-03,8.51,8.67,8.45,8.57,2.3554,45595300,PETR4
2016-06-06,8.7,8.78,8.45,8.46,2.3252,37117600,PETR4
2016-06-07,8.42,8.72,8.39,8.62,2.3691,34401600,PETR4
2016-06-08,8.8,9.41,8.8,9.39,2.5808,77194700,PETR4
2016-06-09,9.28,9.38,9.05,9.18,2.523,46539900,PETR4
2016-06-10,8.97,8.99,8.78,8.78,2.4131,38859900,PETR4
2016-06-13,8.58,8.84,8.52,8.62,2.3691,37094100,PETR4
2016-06-14,8.6,8.77,8.25,8.3,2.2812,66180300,PETR4
2016-06-15,8.3,8.69,8.27,8.51,2.3389,84556900,PETR4
2016-06-16,8.41,8.54,8.28,8.5,2.3361,46834500,PETR4
2016-06-17,8.75,8.95,8.73,8.95,2.4598,63144100,PETR4
2016-06-20,9.22,9.37,9.12,9.18,2.523,63791500,PETR4
2016-06-21,9.09,9.54,8.94,9.53,2.6192,53703900,PETR4
2016-06-22,9.61,9.75,9.34,9.34,2.567,61983000,PETR4
2016-06-23,9.59,9.7,9.51,9.67,2.6577,48031300,PETR4
2016-06-24,9.0,9.33,8.92,9.25,2.5423,75974900,PETR4
2016-06-27,9.22,9.34,8.78,8.78,2.4131,58818400,PETR4
2016-06-28,9.1,9.28,9.07,9.2,2.5285,45291700,PETR4
2016-06-29,9.43,9.57,9.32,9.5,2.611,56093600,PETR4
2016-06-30,9.42,9.49,9.24,9.42,2.589,43741300,PETR4
2016-07-01,9.48,9.85,9.37,9.82,2.6989,49290800,PETR4
2016-07-04,9.95,10.05,9.79,9.87,2.7127,24505100,PETR4
2016-07-05,9.65,9.67,9.23,9.29,2.5533,69691200,PETR4
2016-07-06,9.09,9.52,8.95,9.5,2.611,68781500,PETR4
2016-07-07,9.66,9.98,9.52,9.56,2.6275,81610300,PETR4
2016-07-08,9.85,9.94,9.67,9.84,2.7044,42647600,PETR4
2016-07-11,10.0,10.37,9.98,10.36,2.8473,66717300,PETR4
2016-07-12,10.61,10.8,10.58,10.65,2.9271,58174200,PETR4
2016-07-13,10.47,10.63,10.21,10.63,2.9216,64252100,PETR4
2016-07-14,10.92,10.98,10.66,10.93,3.004,53059500,PETR4
2016-07-15,10.91,11.06,10.82,11.02,3.0287,51223500,PETR4
2016-07-18,10.97,11.74,10.87,11.55,3.1744,77358900,PETR4
2016-07-19,11.51,11.97,11.5,11.78,3.2376,53692000,PETR4
2016-07-20,11.82,11.9,11.54,11.82,3.2486,49261200,PETR4
2016-07-21,11.77,11.99,11.73,11.85,3.2569,37748600,PETR4
2016-07-22,11.84,11.97,11.72,11.94,3.2816,33938400,PETR4
2016-07-25,11.98,12.25,11.91,12.03,3.3063,47192000,PETR4
2016-07-26,11.95,12.07,11.85,11.88,3.2651,38304800,PETR4
2016-07-27,11.99,12.04,11.51,11.51,3.1634,51952100,PETR4
2016-07-28,11.4,11.55,11.15,11.44,3.1442,40663100,PETR4
2016-07-29,11.76,11.98,11.61,11.87,3.2624,60740000,PETR4
2016-08-01,11.93,11.97,11.22,11.25,3.092,52012300,PETR4
2016-08-02,11.33,11.62,11.1,11.36,3.1222,49134600,PETR4
2016-08-03,11.58,11.9,11.33,11.9,3.2706,55695500,PETR4
